TAXON_ORDER,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,ott_id,ott_name,ott_tax_sources,ott_match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type
1,ostric2,avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),647692,Struthio camelus,"ncbi:8801,gbif:2495150,irmng:10199490",canonical_match,Struthio camelus,concepts_match,Struthio camelus,concepts_match,Struthio camelus,concepts_match
6,ostric3,avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),3600823,Struthio molybdophanes,gbif:2495149,canonical_match,Struthio molybdophanes,concepts_match,Struthio molybdophanes,concepts_match,Struthio molybdophanes,concepts_match
8,grerhe1,avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),857864,Rhea americana,"ncbi:8797,gbif:2495165,irmng:10199491,irmng:10538314",canonical_match,Rhea americana,concepts_match,Rhea americana,concepts_match,Rhea americana,concepts_match
14,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),857860,Pterocnemia pennata,"ncbi:8795,gbif:2495160,irmng:10217785,irmng:10199492",synonym_match,Rhea pennata,concepts_match,Rhea pennata,concepts_match,Rhea pennata,concepts_match
19,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),3600814,Nothocercus julius,"gbif:2477472,irmng:10218702",canonical_match,Nothocercus julius,concepts_match,Nothocercus julius,concepts_match,Nothocercus julius,concepts_match
20,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),3600815,Nothocercus bonapartei,"gbif:2477473,irmng:10594160",canonical_match,Nothocercus bonapartei,concepts_match,Nothocercus bonapartei,concepts_match,Nothocercus bonapartei,concepts_match
27,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),3600813,Nothocercus nigrocapillus,"ncbi:1977171,gbif:2477469,irmng:11109001",canonical_match,Nothocercus nigrocapillus,concepts_match,Nothocercus nigrocapillus,concepts_match,Nothocercus nigrocapillus,concepts_match
30,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),466704,Tinamus tao,"ncbi:69492,gbif:2477622,irmng:11161128",canonical_match,Tinamus tao,concepts_match,Tinamus tao,concepts_match,Tinamus tao,concepts_match
35,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),3600785,Tinamus solitarius,"ncbi:2496573,gbif:2477627,irmng:10587785",canonical_match,Tinamus solitarius,concepts_match,Tinamus solitarius,concepts_match,Tinamus solitarius,concepts_match
36,blatin1,avibase-63C5F122,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),3600786,Tinamus osgoodi,"gbif:2477618,irmng:10190394",canonical_match,Tinamus osgoodi,concepts_match,Tinamus osgoodi,concepts_match,Tinamus osgoodi,concepts_match
39,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),402466,Tinamus major,"ncbi:30468,gbif:2477630,irmng:11131605",canonical_match,Tinamus major,concepts_match,Tinamus major,concepts_match,Tinamus major,concepts_match
52,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),306216,Tinamus guttatus,"ncbi:94827,gbif:2477621,irmng:10895804",canonical_match,Tinamus guttatus,concepts_match,Tinamus guttatus,concepts_match,Tinamus guttatus,concepts_match
54,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),647586,Crypturellus cinereus,"ncbi:1118537,gbif:2477533,irmng:10190417",canonical_match,Crypturellus cinereus,concepts_match,Crypturellus cinereus,concepts_match,Crypturellus cinereus,concepts_match
55,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),3600796,Crypturellus berlepschi,"gbif:2477528,irmng:10218703",canonical_match,Crypturellus berlepschi,concepts_match,Crypturellus berlepschi,concepts_match,Crypturellus berlepschi,concepts_match
56,littin1,avibase-39DD9DD7,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),960236,Crypturellus soui,"ncbi:458187,gbif:2477507,irmng:10200033",canonical_match,Crypturellus soui,concepts_match,Crypturellus soui,concepts_match,Crypturellus soui,concepts_match
71,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),3600793,Crypturellus ptaritepui,"gbif:2477506,irmng:10199755",canonical_match,Crypturellus ptaritepui,concepts_match,Crypturellus ptaritepui,concepts_match,Crypturellus ptaritepui,concepts_match
72,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),983480,Crypturellus obsoletus,"ncbi:858303,gbif:2477535,irmng:10190420",canonical_match,Crypturellus obsoletus,concepts_match,Crypturellus obsoletus,concepts_match,Crypturellus obsoletus,concepts_match
83,undtin1,avibase-7A600A0F,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),870607,Crypturellus undulatus,"ncbi:48396,gbif:2477560,irmng:11434238",canonical_match,Crypturellus undulatus,concepts_match,Crypturellus undulatus,concepts_match,Crypturellus undulatus,concepts_match
90,pabtin1,avibase-D303E7FF,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),3600794,Crypturellus transfasciatus,"gbif:2477545,irmng:10975537",canonical_match,Crypturellus transfasciatus,concepts_match,Crypturellus transfasciatus,concepts_match,Crypturellus transfasciatus,concepts_match
91,bratin1,avibase-FE2B5A6B,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),167137,Crypturellus strigulosus,"ncbi:135192,gbif:2477559,irmng:10199773",canonical_match,Crypturellus strigulosus,concepts_match,Crypturellus strigulosus,concepts_match,Crypturellus strigulosus,concepts_match
92,gyltin1,avibase-D2592D39,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),3600790,Crypturellus duidae,"gbif:2477534,irmng:10190418",canonical_match,Crypturellus duidae,concepts_match,Crypturellus duidae,concepts_match,Crypturellus duidae,concepts_match
93,reltin1,avibase-4E03F38D,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),589927,Crypturellus erythropus,"ncbi:1118538,gbif:2477546,irmng:11437948",canonical_match,Crypturellus erythropus,concepts_match,Crypturellus erythropus,concepts_match,Crypturellus erythropus,concepts_match
101,yeltin1,avibase-7507BE36,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),3600789,Crypturellus noctivagus,"gbif:2477503,irmng:10190419",canonical_match,Crypturellus noctivagus,concepts_match,Crypturellus noctivagus,concepts_match,Crypturellus noctivagus,concepts_match
