,species,PRIMARY_COM_NAME,genus,family,addition.style,add.to,do.not.break,notes,actually.missing,actually.not.missing
1,Struthio_camelus,Common Ostrich,Struthio,Struthionidae (Ostriches),,,,,0,0
2,Struthio_molybdophanes,Somali Ostrich,Struthio,Struthionidae (Ostriches),genus-level,Struthio,,only one possible answer,0,0
3,Rhea_americana,Greater Rhea,Rhea,Rheidae (Rheas),,,,,0,0
4,Rhea_pennata,Lesser Rhea,Rhea,Rheidae (Rheas),,,,,0,0
5,Nothocercus_julius,Tawny-breasted Tinamou,Nothocercus,Tinamidae (Tinamous),genus-level,Nothocercus,"Nothocercus_nigrocapillus, Nothocercus_bonapartei","BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",0,0
6,Nothocercus_bonapartei,Highland Tinamou,Nothocercus,Tinamidae (Tinamous),genus-level,Nothocercus_nigrocapillus,,"BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",0,0
7,Nothocercus_nigrocapillus,Hooded Tinamou,Nothocercus,Tinamidae (Tinamous),,,,,0,0
8,Tinamus_tao,Gray Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
9,Tinamus_solitarius,Solitary Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
10,Tinamus_osgoodi,Black Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
11,Tinamus_major,Great Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
12,Tinamus_guttatus,White-throated Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
13,Crypturellus_cinereus,Cinereous Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
14,Crypturellus_berlepschi,Berlepsch's Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
15,Crypturellus_soui,Little Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
16,Crypturellus_ptaritepui,Tepui Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
17,Crypturellus_obsoletus,Brown Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
18,Crypturellus_undulatus,Undulated Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
