taxonomic_order,species,PRIMARY_COM_NAME,genus,family,add.to,do.not.break,notes,needs.statement
2,Struthio_camelus,Common Ostrich,Struthio,Struthionidae (Ostriches),,,,
7,Struthio_molybdophanes,Somali Ostrich,Struthio,Struthionidae (Ostriches),Struthio,,only one possible answer,
10,Rhea_americana,Greater Rhea,Rhea,Rheidae (Rheas),,,,
16,Rhea_pennata,Lesser Rhea,Rhea,Rheidae (Rheas),,,,
22,Nothocercus_julius,Tawny-breasted Tinamou,Nothocercus,Tinamidae (Tinamous),Nothocercus,"Nothocercus_nigrocapillus, Nothocercus_bonapartei","BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",
23,Nothocercus_bonapartei,Highland Tinamou,Nothocercus,Tinamidae (Tinamous),Nothocercus_nigrocapillus,,"BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",
30,Nothocercus_nigrocapillus,Hooded Tinamou,Nothocercus,Tinamidae (Tinamous),,,,
33,Tinamus_tao,Gray Tinamou,Tinamus,Tinamidae (Tinamous),,,,
38,Tinamus_solitarius,Solitary Tinamou,Tinamus,Tinamidae (Tinamous),,,,
39,Tinamus_osgoodi,Black Tinamou,Tinamus,Tinamidae (Tinamous),,,,
42,Tinamus_major,Great Tinamou,Tinamus,Tinamidae (Tinamous),,,,
55,Tinamus_guttatus,White-throated Tinamou,Tinamus,Tinamidae (Tinamous),,,,
57,Crypturellus_cinereus,Cinereous Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
58,Crypturellus_berlepschi,Berlepsch's Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
59,Crypturellus_soui,Little Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
74,Crypturellus_ptaritepui,Tepui Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
75,Crypturellus_obsoletus,Brown Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
86,Crypturellus_undulatus,Undulated Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
93,Crypturellus_transfasciatus,Pale-browed Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
94,Crypturellus_strigulosus,Brazilian Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
95,Crypturellus_duidae,Gray-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
96,Crypturellus_erythropus,Red-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
104,Crypturellus_noctivagus,Yellow-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
107,Crypturellus_atrocapillus,Black-capped Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
110,Crypturellus_boucardi,Slaty-breasted Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
113,Crypturellus_kerriae,Choco Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
114,Crypturellus_variegatus,Variegated Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
115,Crypturellus_cinnamomeus,Thicket Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
126,Crypturellus_brevirostris,Rusty Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
127,Crypturellus_bartletti,Bartlett's Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
128,Crypturellus_parvirostris,Small-billed Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
129,Crypturellus_casiquiare,Barred Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
130,Crypturellus_tataupa,Tataupa Tinamou,Crypturellus,Tinamidae (Tinamous),,,,
136,Rhynchotus_rufescens,Red-winged Tinamou,Rhynchotus,Tinamidae (Tinamous),,,,
140,Rhynchotus_maculicollis,Huayco Tinamou,Rhynchotus,Tinamidae (Tinamous),,,,
141,Nothoprocta_taczanowskii,Taczanowski's Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
142,Nothoprocta_ornata,Ornate Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
146,Nothoprocta_perdicaria,Chilean Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
149,Nothoprocta_cinerascens,Brushland Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
152,Nothoprocta_pentlandii,Andean Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
161,Nothoprocta_curvirostris,Curve-billed Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,
165,Nothura_boraquira,White-bellied Nothura,Nothura,Tinamidae (Tinamous),,,,
166,Nothura_minor,Lesser Nothura,Nothura,Tinamidae (Tinamous),,,,
167,Nothura_darwinii,Darwin's Nothura,Nothura,Tinamidae (Tinamous),,,,
173,Nothura_maculosa,Spotted Nothura,Nothura,Tinamidae (Tinamous),,,,
185,Taoniscus_nanus,Dwarf Tinamou,Taoniscus,Tinamidae (Tinamous),,,,
186,Eudromia_elegans,Elegant Crested-Tinamou,Eudromia,Tinamidae (Tinamous),,,,
