id	replacement
4131544	749634
6151075	180487
4947551	232061
3598558	2177
1076482	701707
3599799	401600
4131524	903271
5857197	3600485
5925718	3597572
3599822	553108
5857257	500657
5857167	752976
3597783	67916
4131515	3597406
5861000	1027170
5340802	5340800
3595577	1023132
5342864	32317
1027761	469583
960214	542679
3599800	3598486
5744112	900916
3598578	945894
4131103	4131083
3597790	67918
5559039	212181
5857137	57833
5266437	4947520
5857185	3601874
4130726	335017
3599601	701809
3598375	213260
960216	542681
6150825	304308
5559002	5340775
816030	159840
5857077	117726
773110	25618
3599414	756097
4131402	3597621
4947599	959909
810738	609798
3597208	532755
536234	203380
4139134	440407
3600199	377175
3598844	954676
3598817	532590
3599797	219388
3598614	661325
3598630	885156
3598357	364717
3598155	69434
1030758	1030752
3598599	844089
3599563	1053661
5857128	420370
3598075	3598074
3598070	671213
3597956	931450
3597951	624786
3597936	989573
3597803	67920
3599469	827153
4131427	3597631
5559016	399789
3597787	16185
3597807	537126
5560096	901167
3598835	3598834
4131241	1021964
3598286	265348
3599856	3598829
4947590	4947557
3599263	171737
3599575	3598199
3597865	544649
4947589	520360
3598923	954666
3598097	374054
4131389	3370
5559003	1041540
5558996	5340775
5559019	3596155
5857135	3596828
4131522	399227
4131532	901363
4131502	328906
4131661	859841
4131480	567251
4131477	939939
4130485	241571
4130838	4130800
3599335	1086254
5857391	3596410
5857398	3596386
5857369	589943
5857418	372535
5857354	909768
6375874	621714
5857109	733988
5857084	3600530
5857157	4131243
5857266	714463
5857020	3600331
5857361	694655
5857196	3600486
5857235	872398
5857227	385131
5857222	553409
5857223	381387
5857202	5027
5857204	3600026
4131391	776924
3596074	3596045
5559015	119211
5559036	997982
5559048	684050
3597735	18592
3597441	298768
3600446	304463
5266820	3599539
3597350	128438
3598591	2224
3598392	310952
4130849	4130819
516016	177568
4130780	704539
4130822	4130820
5857288	213253
4131354	3599387
4131406	630042
4131407	3597624
4131408	3597661
4131413	3597611
4131411	3597659
4131412	286089
4131422	3597603
4131426	809938
3598309	147271
4131371	3597618
4131376	3597648
4131381	3597662
4131379	3597666
4131404	3597614
4131546	3597468
4131466	817143
4131507	3597405
4131516	3597416
4131519	901360
4131647	954666
4131648	3598843
4131651	234412
4131650	285053
4131653	808707
4131654	3599098
3596185	891420
4131659	859836
4131660	234411
4131657	356968
4131658	3599099
3599502	767078
3597196	85242
3598508	155396
5339542	3599514
3600256	329883
3598130	481192
3603283	3603278
3598175	3598173
3597467	957580
5559038	3599350
3598540	3598526
5857397	494182
5857174	960235
3597786	641123
3598267	414487
3598390	551168
4131428	3597658
5857351	567251
3597391	6375
5553961	363030
5835362	1050968
3598278	214248
5860992	324558
5835433	854632
6155172	963221
3599568	3597218
5819735	595235
5266819	3599835
5859860	750774
5558999	5340775
3600350	199746
5859877	654820
810755	313124
5857233	490362
3596075	1098759
3599739	687883
6154258	90865
5266739	3599394
3596668	1032057
3599843	697086
3596959	993035
5560050	3596720
5857330	279128
5857331	4947788
3595944	3595898
5857219	3599970
3597046	979353
3598768	264917
3597178	6027
3598312	209016
5266813	3596155
5266744	3599876
5266746	3599478
5340792	931323
4947776	1009281
3597202	505064
3597201	956236
3599728	1052197
3599339	1052184
3599607	357657
5340773	246420
3599501	1043433
5340493	728070
5553962	452464
5857226	7150
3597187	85240
3597148	3597118
3598412	771685
3595722	3595714
3595690	125910
3595652	592672
3595619	172670
3595871	639413
5266818	414354
3598387	1066097
749633	486279
3597077	1064275
5857194	810658
5857145	704181
5857086	1046937
5266734	3602732
4131392	3597645
3596301	75792
3596383	571604
3596394	26094
3596018	157739
5857080	3602353
6375879	5340726
5857076	480886
3596467	938411
5857008	857860
5857211	3600024
5857416	704139
5857384	1095262
5857270	319677
3599443	930866
3600018	414354
3597179	6025
3597182	909769
3597185	119878
5557450	267639
4131531	901362
5342865	793320
3605749	3603278
3598551	3598550
5857078	675103
3596795	892224
3596727	3596724
5859859	1014129
3596040	55587
3596348	690362
3596337	3596320
3596200	901447
3596594	359313
5257444	207740
5339527	3599588
5559018	3596276
5559024	3599315
5559025	337751
3599054	603922
701711	348848
3599497	3598137
3599476	3599424
5266433	4947501
3599528	508023
3599522	687871
3598549	3598524
4131388	3597651
3600177	290740
910739	44688
5835574	989088
5846364	4947812
5852512	918680
3596367	757732
3596267	1034649
4131684	728471
6151553	509837
3595547	3595546
5857356	711863
6138187	3600673
3597195	1014098
6152583	979990
3596443	704139
6155171	433594
5859817	85289
5859879	166688
4947751	522926
4947848	94170
3598156	1566
3596283	569234
3596527	3596525
3596424	209417
3596412	1061841
3596395	3596378
3595602	504674
4947711	3598476
6152580	940481
4131504	3597414
6152497	266384
6152230	883546
6152029	921351
5857018	3600328
5857385	1870
5857419	1043298
5857412	5857394
5857363	171825
5857349	3599584
5857319	593735
5857308	771605
5857344	939936
5857256	196940
5857164	3595769
5857178	3601097
5857172	98071
4947581	233446
3599779	384906
443686	177564
6153559	28222
6153441	265547
4947575	1018617
5559034	1010884
6153333	307364
6153281	890352
3600178	210496
3595805	196940
3600254	701709
6154790	6154774
5560118	664650
6154909	960891
6154900	738739
5857403	3596385
6154624	3599184
5560137	449659
6154277	767671
6154288	559737
3600963	446477
5857247	3600738
5857408	3596384
6154085	328260
3601127	550051
6154063	5340831
5157561	463185
5857110	878373
5857119	670132
6375574	3604082
3600747	605709
5857374	843507
5857404	234470
3599367	192503
3595923	552056
5560138	449659
5859873	552052
5857199	3600482
5859914	743411
6152942	20498
6155655	624768
6155365	3595671
6155152	433594
6155173	48860
4131318	288657
5857144	1026258
5857102	583605
5560115	550039
5859818	592656
5857066	244700
5846374	744572
5560023	917049
5557491	3599351
5857258	204731
5857124	5342861
5857153	4131239
6151501	458097
6155267	3595769
3598560	218736
3600685	31563
6138005	3604082
3600347	851024
3600321	900913
5835354	30733
5560070	968977
5835374	787932
6151375	299687
5857138	436747
5857010	464693
3597883	515113
6153651	875990
3597229	3597206
5835403	693334
5857228	3599916
6152784	294063
6138323	92263
6138471	733987
6154253	349670
5857411	178964
4947573	1008493
3598555	2224
5857201	972481
6152036	101445
5857341	621800
3599719	727906
4947572	640617
3597646	520451
5835441	1053670
6152654	713365
6373220	499628
6152033	797060
3598903	3598878
3598805	916111
3600293	738747
5835378	565816
5835459	560660
5859930	3597486
5859932	465905
5852507	83286
5859917	3597489
3599736	45312
3599745	334218
3599815	3598478
3599816	479293
3599812	912330
3599813	859834
3598543	3598533
3599888	3599808
3599674	265351
3600756	211107
5560151	684046
3595621	845412
5857246	530446
5340703	714474
5857413	3596379
5859895	28327
320698	291854
5560128	1030314
3603281	3603278
4947585	1018616
5857240	3599995
5857242	3599896
3597291	6566
4131380	286085
663312	9835
6151951	765965
4947650	552308
773836	238140
5857184	3601282
3599682	687876
5835477	274231
5835390	32331
3599452	234410
5857061	3596774
5857359	694665
5340699	263122
4947678	453420
5857106	45511
5857055	547308
5857071	729476
5857037	108574
6150960	261314
3598547	177063
5857289	684452
5857314	1095262
5857301	3599209
3601098	1041421
3599085	90890
5857195	539136
5558998	5340775
5857325	227264
5857123	454019
6153110	746137
5857249	159838
5857217	3599920
5857272	165537
5857181	3605882
3597701	778440
3597924	3597921
5561053	4131510
6152261	754846
5846324	283835
3598339	3598303
5857261	3595928
5859910	939939
5859943	567252
5559004	414354
5857299	355999
3597258	478182
5560127	1030310
5857360	171835
6151134	317001
5857024	600846
5560459	453770
6375880	413795
5857081	11009
5857162	1027748
3597347	349673
5835442	280903
665672	421985
3602218	742632
5857142	241571
5857409	3596392
4131523	1083721
6154474	5341183
5857389	569234
3600532	660930
4131810	1063652
4132023	660355
3596251	574399
6151814	144486
5857406	704131
3597238	922666
3601969	661812
224928	224925
5857241	3599945
5857193	306220
5857146	698967
4131424	3597630
5857143	254356
5857287	857122
5857252	248499
5835371	399793
5857328	3599233
5859922	3597483
5859920	3597488
5859913	283673
5835472	467866
5859862	786422
5859718	3602357
5857094	3600497
5859916	257760
5859915	4131384
5859911	939941
5859904	740603
5859937	963496
5859936	3599586
5859933	3597510
5859931	3597494
5859928	3597485
5859921	3597490
5859946	285205
5859944	292635
3598343	3598303
5859942	3597322
5859965	120833
5859961	901454
5857321	568712
5859918	3597484
4131410	388833
5857305	3599207
3599340	512752
5857188	526771
5857171	921082
3597654	139823
3600412	3600407
5860994	747629
5857049	1089846
5560001	3599919
5857311	599071
6150909	51276
3600717	960235
3600639	752683
3597804	136026
5857166	3595701
5857200	414343
3597435	341470
5857044	3600309
5857376	260004
5857388	376403
4131401	3597633
5857210	784565
5857275	1097457
5857317	3599182
5857303	490200
6372644	891413
5857322	593736
5857320	3599153
3599730	11420
3597982	319311
5859870	817994
3599490	294593
3595644	406716
5859968	541562
3596832	57827
3599421	3599330
3598554	848365
6375596	82424
3599771	674942
3597386	238138
4131656	859842
5859962	1060716
5852518	3605594
6151807	684046
5859966	523017
3596902	341034
5857327	817081
5340785	4131310
5859903	883546
3600676	3600675
5857278	927350
5835431	589156
3605888	526771
5857224	1041543
3596904	341036
5857399	3596380
5857139	704183
5857401	3596391
5852538	5340765
3597394	637971
6150827	3599983
3596749	446482
3598065	486279
5560142	332002
5857387	901454
5857395	3596389
5857402	3596387
3597798	190307
4131375	1055682
4131415	286095
5857040	3600311
5857209	3600039
5852519	661812
3598085	3598083
5846372	267639
5857096	18269
6153370	823302
3600671	1080666
5857255	125901
6154778	9831
3600203	3600170
5857170	1021964
