uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
81461	|		|	Aves	|	class	|	ncbi:8782,worms:1836,gbif:212,irmng:1142	|		|		|	
241846	|	81461	|	Neognathae	|	infraclass	|	ncbi:8825	|		|		|	
363022	|	241846	|	Ciconiiformes	|	order	|	ncbi:8920,worms:148746,gbif:839,irmng:10921,irmng:10274	|		|	sibling_higher	|	
244699	|	363022	|	Pteroclidae	|	family	|	ncbi:56295,gbif:4848517,irmng:102306	|		|		|	
244698	|	244699	|	Pterocles	|	genus	|	ncbi:56296,gbif:2480192,irmng:1368995	|		|	sibling_higher	|	
244697	|	244698	|	Pterocles coronatus	|	species	|	ncbi:56297,gbif:2480205,irmng:10199520	|		|		|	
3596807	|	244698	|	Pterocles alchata	|	species	|	ncbi:1646533,gbif:2480204,irmng:10199519	|		|		|	
789254	|	244698	|	Pterocles orientalis	|	species	|	ncbi:227169,gbif:2480193,irmng:11004405	|		|		|	
498328	|	244698	|	Pterocles bicinctus	|	species	|	ncbi:302525,gbif:2480195,irmng:10807153	|		|		|	
3596812	|	244698	|	Pterocles personatus	|	species	|	ncbi:1792621,gbif:2480199,irmng:11164663	|		|		|	
57819	|	244698	|	Pterocles gutturalis	|	species	|	ncbi:240206,gbif:2480201,irmng:11364714	|		|		|	
322445	|	244698	|	Pterocles namaqua	|	species	|	ncbi:216825,gbif:2480202,irmng:10195215	|		|		|	
3596813	|	244698	|	Pterocles lichtensteinii	|	species	|	ncbi:1811380,gbif:2480198,irmng:11384139	|		|		|	
837657	|	244698	|	Pterocles exustus	|	species	|	ncbi:1278208,gbif:9522580,irmng:11165128	|		|		|	
6151161	|	244698	|	Pterocles validus	|	species	|	gbif:8467759	|		|		|	
6151160	|	244698	|	Pterocles sepultus	|	species	|	gbif:8592016	|		|		|	
6151157	|	244698	|	Pterocles larvatus	|	species	|	gbif:8605746	|		|		|	
7659127	|	244698	|	Pterocles guttatus	|	species	|	gbif:8888950	|		|		|	
7659128	|	244698	|	Pterocles senegalensis	|	species	|	gbif:9067287	|		|		|	
3596809	|	244698	|	Pterocles senegallus	|	species	|	gbif:2480194,irmng:10719526	|		|		|	
3596811	|	244698	|	Pterocles decoratus	|	species	|	gbif:2480196,irmng:11455099	|		|		|	
3596810	|	244698	|	Pterocles burchelli	|	species	|	gbif:2480200,irmng:10582530	|		|		|	
3596808	|	244698	|	Pterocles quadricinctus	|	species	|	gbif:2480203,irmng:11439022	|		|		|	
3596814	|	244698	|	Pterocles indicus	|	species	|	gbif:2480206,irmng:10921638	|		|		|	
880217	|	244699	|	Syrrhaptes	|	genus	|	ncbi:302526,gbif:2480207,irmng:1197893	|		|	sibling_higher	|	
817590	|	880217	|	Syrrhaptes paradoxus	|	species	|	ncbi:302527,gbif:2480208,irmng:10582529	|		|		|	
3596806	|	880217	|	Syrrhaptes tibetanus	|	species	|	gbif:2480209,irmng:10199518	|		|		|	
