"studyID","short_reference","ot:studyPublicationReference","ot:studyPublication"
"pg_2702","Aggerbeck et al., 2014","Aggerbeck, Marie, Jon Fjeldså, Les Christidis, Pierre-Henri Fabre, Knud Andreas Jønsson. 2014. Resolving deep lineage divergences in core corvoid passerine birds supports a proto-Papuan island origin. Molecular Phylogenetics and Evolution 70: 272-285.","http://dx.doi.org/10.1016/j.ympev.2013.09.027"
"ot_894","Aliabadian et al., 2007","Aliabadian, Mansour, Mohammad Kaboli, Roger Prodon, Vincent Nijman, Miguel Vences. 2007. Phylogeny of Palaearctic wheatears (genus Oenanthe)—Congruence between morphometric and molecular data. Molecular Phylogenetics and Evolution 42 (3): 665-675","http://dx.doi.org/10.1016/j.ympev.2006.08.018"
"ot_1287","Alström et al., 2018a","Alström, P. Frank E. Rheindt, Ruiying Zhang, Min Zhao, Jing Wang, Xiaojia Zhu, Chyi Yin Gwee, Yan Hao, Jan Ohlson, Chenxi Jia, Dewi M. Prawiradilaga, Per G.P. Ericson, Fumin Lei, Urban Olsson, 2018, 'Complete species-level phylogeny of the leaf warbler (Aves: Phylloscopidae) radiation', Molecular Phylogenetics and Evolution, vol. 126, pp. 141-152","http://dx.doi.org/10.1016/j.ympev.2018.03.031"
"ot_2178","Alström et al., 2018b","Alström, P., Cibois, A., Irestedt, M., Zuccon, D., Gelang, M., Fjeldså, J., Andersen, M. J., Moyle, R. G., Pasquet, E., & Olsson, U. (2018). Comprehensive molecular phylogeny of the grassbirds and allies (Locustellidae) reveals extensive non-monophyly of traditional genera, and a proposal for a new classification. Molecular Phylogenetics and Evolution, 127, 367–375. https://doi.org/10.1016/j.ympev.2018.03.029","http://dx.doi.org/10.1016/j.ympev.2018.03.029"
"ot_111","Alström et al., 2014","Alstrom, P., D. M. Hooper, Y. Liu, U. Olsson, D. Mohan, M. Gelang, H. Le Manh, J. Zhao, F. Lei, T. D. Price. 2014. Discovery of a relict lineage and monotypic family of passerine birds. Biology Letters 10 (3): 20131067-20131067.","http://dx.doi.org/10.1098/rsbl.2013.1067"
"ot_2182","Alström et al., 2011","Alström, P., Höhna, S., Gelang, M., Ericson, P. G., & Olsson, U. (2011). Non-monophyly and intricate morphological evolution within the avian family Cettiidae revealed by multilocus analysis of a taxonomically densely sampled dataset. BMC Evolutionary Biology, 11(1), 352. https://doi.org/10.1186/1471-2148-11-352","http://dx.doi.org/10.1186/1471-2148-11-352"
"ot_2191","Alström et al., 2015","Alström, P., Jønsson, K. A., Fjeldså, J., Ödeen, A., Ericson, P. G. P., & Irestedt, M. (2015). Dramatic niche shifts and morphological change in two insular bird species. Royal Society Open Science, 2(3), 140364. https://doi.org/10.1098/rsos.140364","http://dx.doi.org/10.1098/rsos.140364"
"ot_2230","Alström et al., 2023","Alström, P., Mohammadi, Z., Enbody, E., Irestedt, M., Engelbrecht, D., Crochet, P.-A., Guillaumet, A., Rancilhac, L., Tieleman, B. I., Olsson, U., Donald, P. F., & Stervander, M. (2023). Systematics of the avian family Alaudidae using multilocus and genomic data. Avian Research, 100095. https://doi.org/10.1016/j.avrs.2023.100095","http://dx.doi.org/10.1016/j.avrs.2023.100095"
"ot_2192","Alström et al., 2020","Alström, P., Rasmussen, P. C., Sangster, G., Dalvi, S., Round, P. D., Zhang, R., Yao, C., Irestedt, M., Le Manh, H., Lei, F., & Olsson, U. (2019). Multiple species within the Striated Prinia            Prinia crinigera–            Brown Prinia            P. polychroa            complex revealed through an integrative taxonomic approach. Ibis, 162(3), 936–967. Portico. https://doi.org/10.1111/ibi.12759","http://dx.doi.org/10.1111/ibi.12759"
"ot_2189","Alström, Rasmussen, et al., 2018","Alström, P., Rasmussen, P. C., Xia, C., Gelang, M., Liu, Y., Chen, G., Zhao, M., Hao, Y., Zhao, C., Zhao, J., Yao, C., Eaton, J. A., Hutchinson, R., Lei, F., & Olsson, U. (2018). Taxonomy of the White-browed Shortwing (Brachypteryx montana) complex on mainland Asia and Taiwan: an integrative approach supports recognition of three instead of one species. Avian Research, 9(1). https://doi.org/10.1186/s40657-018-0125-6","http://dx.doi.org/10.1186/s40657-018-0125-6"
"ot_2193","Alström, Rasmussen, et al., 2021","Alström, P., Rasmussen, P. C., Xia, C., Zhang, L., Liu, C., Magnusson, J., Shafaeipour, A., & Olsson, U. (2021). Morphology, vocalizations, and mitochondrial DNA suggest that the Graceful Prinia is two species. Ornithology, 138(2). https://doi.org/10.1093/ornithology/ukab014","http://dx.doi.org/10.1093/ornithology/ukab014"
"ot_2220","Alström, Rasmussen, et al., 2016","Alström, P., Rasmussen, P. C., Zhao, C., Xu, J., Dalvi, S., Cai, T., Guan, Y., Zhang, R., Kalyakin, M. V., Lei, F., & Olsson, U. (2016). Integrative taxonomy of the Plain-backed Thrush (Zoothera mollissima) complex (Aves, Turdidae) reveals cryptic species, including a new species. Avian Research, 7(1). https://doi.org/10.1186/s40657-016-0037-2","http://dx.doi.org/10.1186/s40657-016-0037-2"
"ot_2122","Alström et al., 2021","Alström, P., van Linschooten, J., Donald, P. F., Sundev, G., Mohammadi, Z., Ghorbani, F., Shafaeipour, A., van den Berg, A., Robb, M., Aliabadian, M., Wei, C., Lei, F., Oxelman, B., & Olsson, U. (2021). Multiple species delimitation approaches applied to the avian lark genus Alaudala. Molecular Phylogenetics and Evolution, 154, 106994. https://doi.org/10.1016/j.ympev.2020.106994","http://dx.doi.org/10.1016/j.ympev.2020.106994"
"pg_2599","Alström et al., 2013","Alström, Per, Keith N. Barnes, Urban Olsson, F. Keith Barker, Paulette Bloomer, Aleem Ahmed Khan, Masood Ahmed Qureshi, Alban Guillaumet, Pierre-André Crochet, Peter G. Ryan. 2013. Multilocus phylogeny of the avian family Alaudidae (larks) reveals complex morphological evolution, non-monophyletic genera and hidden species diversity. Molecular Phylogenetics and Evolution 69 (3): 1043-1056.","http://dx.doi.org/10.1016/j.ympev.2013.06.005"
